Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086927,209,HAK,WUH,2011-12-30,07:15:00,182,189,[Y],32,1
Relation:couple,coflycnt
55969441,55969445,1
89915623,3,22,3,0.6999404444166157
35756880,3,9,3,0.8077724555504393
8083582,3,17,2,0.5442965814285736
96209846,3,28,6,-1.0
55969438,3,24,1,0.9416167673333331
9464431,3,17,5,0.5507985883596609
96209832,3,26,3,-1.0
55969439,3,23,2,0.9520958051666667
62038834,3,2,6,0.6390205472132802
96209834,3,26,4,-1.0
96209835,3,26,5,-1.0
66048096,3,18,4,0.5773350620837212
96209836,3,26,6,-1.0
96209837,3,27,1,-1.0
96209838,3,27,2,-1.0
73205828,3,18,5,0.6329138357282919
96209839,3,27,3,-1.0
86816189,3,8,6,0.8163265499999994
50052901,3,19,4,0.5762848120319122
96209827,3,24,6,-1.0
96209828,3,25,1,-1.0
95232889,3,9,5,0.70118344
5591089,3,19,1,0.9409448899999984
96209829,3,25,6,-1.0
96209830,3,26,1,-1.0
96209831,3,26,2,-1.0
55969452,3,20,6,0.9410928113333331
55969454,3,24,4,0.9216317366666666
49108791,3,3,5,0.6690499117260218
55969449,3,24,5,0.9123253500317461
55969448,3,28,1,0.9363855589999998
55969450,3,27,4,0.9279441104761903
55969445,3,23,4,0.9491018016666666
7467800,3,3,3,0.7052401022986403
55969444,3,23,5,0.947604789
55969447,3,22,4,0.8979125144444444
55969441,3,23,3,0.9505988026666665
55969443,3,24,2,0.9431137743333333
61350044,3,10,1,-1.0
66659483,3,4,6,0.6808900964712766
61350042,3,9,6,-1.0
11914813,3,17,4,0.5572802737289061
95477121,3,25,3,0.59523809
59166307,3,20,5,0.581493672128903
65223581,3,25,5,0.88957055
26874824,3,6,2,0.8179312677751756
7955892,3,18,3,0.6443365242539274
8823631,3,7,3,0.5973262772114958
26874823,3,6,1,0.8091079958137886
39951874,3,2,5,0.7522676475327335
8367304,3,6,5,0.5932570208838615
95844738,3,23,6,-1.0
95528082,3,25,4,0.76993865
15883027,3,20,2,0.7096244310248588
95844736,3,23,1,-1.0
57085821,3,4,3,0.6144731576512882
95688592,3,10,4,0.9895104833333322
85701586,3,21,3,0.5037768499999999
77200251,3,8,1,0.9235668793333334
1006090,3,2,3,0.7077688567905387
40223015,3,7,6,0.64417177
29209324,3,7,5,0.6273249623771108
